"","A","B","C","D","E","F","G","H","I"
"Q74EQ1",5.255917,5.782566,5.6996625,6.499825,5.34298,6.424326,5.34298,5.8059125,6.5288645
"I7EF02",7.599507,8.320935,8.2575165,7.801205,7.658917,7.984577,7.658917,8.367444,7.930725
"Q74D50",8.9008515,7.921161,7.898773,8.472376,8.90631875,8.403738,8.90631875,7.8759455,8.452777
"Q749V9",6.878461,7.906173,7.9543205,7.403103,6.7571585,7.667799,6.7571585,7.9818245,7.4227445
"Q749A2",7.8481225,7.312685,7.1925595,7.665205,7.91819125,7.798568,7.91819125,7.3688975,7.8038375
"Q748N7",6.401362,6.893745,6.64599,6.978395,6.316416,6.966887,6.316416,6.9567005,7.0518405
"Q74F05",7.264119,7.809721,7.775255,7.646011,7.1999915,7.659603,7.1999915,7.714083,7.673271
"Q74GX2",5.366766,7.009026,6.947592,6.726597,5.3300755,6.680526,5.3300755,6.9058725,6.6199205
"Q749A1",8.2437295,8.004364,8.042567,8.222873,8.25118325,8.153083,8.25118325,8.126573,8.2716445
"Q74EE9",7.896656,8.126618,8.132413,8.153875,7.884447,8.207284,7.884447,8.130939,8.1066245
"Q74F09",7.3258635,7.456472,7.414683,7.584987,7.37194975,7.579097,7.37194975,7.4455525,7.598721
"Q74C04",6.5363565,7.698518,7.7242315,7.027064,6.53653325,7.08257,6.53653325,7.7694345,7.1073345
"Q74FX1",5.5134015,5.705205,5.7505495,6.166667,5.63452025,5.864232,5.63452025,5.7358685,6.3368835
"Q74GQ1",6.2899555,7.02592,6.921213,7.073389,6.33279125,7.254886,6.33279125,6.893766,7.089092
"Q74E58",9.0709025,8.02788,7.949025,8.7004,9.05918575,8.739984,9.05918575,7.9605435,8.7017725
"Q74DS8",5.491928,6.669791,6.647418,7.15664,5.084352,6.90052,5.084352,6.686842,7.112413
"Q74FG1",7.9655745,7.70966,7.6077985,7.903925,7.94877825,7.909599,7.94877825,7.7381885,7.933353
"Q74A69",6.742848,5.528454,5.671747,6.919481,6.7691555,6.935018,6.7691555,5.586766,6.921316
"A0A0D5N3K1",7.027205,6.815199,6.890358,6.889828,6.924418,7.201288,6.924418,6.9008825,6.816994
"Q74A74",6.320203,5.853266,5.934564,6.683956,6.374031,6.9649,6.374031,5.803853,6.786034
"Q74CQ8",6.834086,6.49396,6.4537805,7.02983,6.7694185,6.937393,6.7694185,6.6023095,7.123446
"Q74GP5",5.4221675,5.670385,5.8268705,6.670515,5.25624425,6.604841,5.25624425,5.718644,6.6163685
"P60740",7.836694,7.303218,7.2415285,7.742159,7.8743995,7.560886,7.8743995,7.2792815,7.7175425
"Q74FR4",6.260749,5.513111,5.231873,6.269303,6.230745,6.523122,6.230745,5.5222375,6.370356
"Q74DV3",5.7983125,6.304491,6.4943,6.814154,5.79803925,6.635664,5.79803925,6.427995,6.7390595
"Q748Z8",7.903018,7.763899,7.6650265,7.911674,7.9134055,7.86476,7.9134055,7.785409,7.904931
"Q74AF1",7.442424,7.405159,7.335801,7.620885,7.4170145,7.522861,7.4170145,7.3635755,7.667448
"P62230",7.8318255,7.188169,7.2260445,7.579521,7.76752825,7.6429,7.76752825,7.230156,7.6823615
"Q74BE3",5.061313,7.788352,7.6729535,7.999913,5.126996,7.770852,5.126996,7.7708795,7.8809055
"Q748Y3",7.918176,7.621975,7.788444,8.062995,7.944765,7.902079,7.944765,7.6287745,8.0708165
"Q74G94",7.827418,7.233377,7.2171,7.378034,7.837273,7.420814,7.837273,7.292219,7.4667215
"Q74E48",7.050356,6.885084,6.7608965,7.287309,7.086859,7.14619,7.086859,6.8724865,7.236652
"Q747Y9",6.350577,6.569339,6.5475935,6.681277,6.4935425,6.510545,6.4935425,6.5939445,6.623521
"Q74GM2",5.21935,6.039295,5.785371,5.93255,5.0773565,6.089057,5.0773565,5.9967085,6.0108565
"Q74CS3",7.517475,4.717301,5.0772165,7.432537,7.580424,7.287107,7.580424,4.9211175,7.31642
"Q74F93",7.7492545,8.330252,8.4317765,7.909802,7.69730875,7.848743,7.69730875,8.3724455,7.887361
"Q74BW1",8.337663,7.923658,8.020829,8.296512,8.3414305,8.269583,8.3414305,7.932336,8.2908095
"Q749N5",7.5274195,7.232768,7.199095,7.686797,7.50068675,7.671931,7.50068675,7.278165,7.666801
"Q746W7",7.945207,8.791845,8.7614025,8.306296,7.910412,8.297935,7.910412,8.817221,8.3348505
"A0A0D5N4Y1",6.045472,6.260667,6.308843,6.908764,6.318296,6.615676,6.318296,6.176483,6.831342
"Q74BJ3",5.536826,6.44736,6.418201,5.957564,5.181561,5.982036,5.181561,6.4063115,6.0313495
"Q74BE5",4.9359305,6.25193,6.2438555,6.431557,5.25566525,6.363123,5.25566525,6.2497305,6.37664
"Q74GM9",7.2360815,6.944295,6.939063,7.550143,7.20369925,7.547947,7.20369925,7.051027,7.5366975
"Q74C82",7.2235535,6.901845,6.848034,7.272398,7.22822375,7.21643,7.22822375,6.852975,7.3564725
"P62434",7.7541985,7.563872,7.4459015,7.59122,7.81299075,7.558553,7.81299075,7.4761375,7.5471715
"Q74GT7",7.892096,7.828105,7.7980755,7.808899,7.868851,7.849622,7.868851,7.794825,7.9210405
"Q74FS1",8.1844905,8.037107,8.111636,8.086929,8.18923875,8.01473,8.18923875,8.0624975,8.0854665
"Q749K3",7.5326185,8.265408,8.277944,7.725904,7.52242475,7.709253,7.52242475,8.2232395,7.700511
"Q746Z6",6.0763785,5.466488,5.6250985,6.018576,6.13725625,5.985089,6.13725625,5.63812,6.023065
"Q74H19",7.5833155,7.441381,7.5007755,7.685123,7.58644825,7.722445,7.58644825,7.411699,7.66222
"A0A0D5N608",8.1615885,7.755257,7.7876505,8.060395,8.19679625,8.062882,8.19679625,7.8334015,8.0895615
"Q74E54",8.0235025,7.645923,7.5478705,7.892178,8.01590225,7.804405,8.01590225,7.6718375,7.958742
"Q74FX4",6.3137445,5.737407,5.6266445,6.581335,6.24965775,6.702525,6.24965775,5.780183,6.6259295
"Q749U3",6.45325,7.349064,7.4461375,7.202434,6.560076,7.198162,6.560076,7.364502,7.147191
"Q74ER7",6.9790815,7.2205,7.3215695,7.349957,7.08886925,7.532104,7.08886925,7.211671,7.379818
"Q74D02",7.4851295,5.549665,5.3346535,7.214314,7.52417475,6.923389,7.52417475,5.554366,7.130697
"Q748X3",7.539795,7.176091,7.1954675,7.388581,7.4905565,7.218509,7.4905565,7.193686,7.4207505
"Q748Y4",8.0455025,7.796644,7.694305,7.776207,8.06932225,7.857815,8.06932225,7.8213975,7.763126
"Q74C75",8.0700155,8.127461,8.15108,8.030478,8.05831375,8.022923,8.05831375,8.089519,7.990458
"Q74BX3",6.148845,5.330374,5.3710505,6.520667,6.22044,6.02686,6.22044,5.177511,6.072387
"Q749A4",8.4883695,8.097049,8.1500135,8.471101,8.46332125,8.477628,8.46332125,8.135278,8.5164115
"Q749D2",6.851544,6.91923,6.872753,7.332095,6.9075995,7.474216,6.9075995,6.8697615,7.3075285
"Q74FE7",8.069072,7.567532,7.5249455,7.924631,8.110619,8.008217,8.110619,7.524659,8.0637095
"Q74DN3",5.415599,5.473319,5.5101855,6.470013,5.8039855,6.482574,5.8039855,5.677671,6.391982
"Q74FF3",7.9676765,7.858916,7.878115,7.906852,7.93926275,7.864368,7.93926275,7.876264,7.9294635
"Q749L8",5.3401545,6.751287,6.732418,6.798644,5.15311925,6.802096,5.15311925,6.7886645,6.517893
"Q74DS7",5.256962,5.365436,5.318755,6.579898,5.29214,6.646443,5.29214,5.3404605,6.4361325
"Q749A0",7.283288,6.965051,6.97412,7.448583,7.363729,7.268929,7.363729,7.0276015,7.3897015
"P61063",8.168247,7.681928,7.6220925,7.905542,8.2007105,7.898012,8.2007105,7.654288,7.927756
"Q74DI3",6.297015,6.426088,6.49214,6.620605,6.2995105,6.476266,6.2995105,6.58228,6.6682205
"Q748X4",7.8315515,7.289812,7.3390455,7.731621,7.83979325,7.641097,7.83979325,7.3896885,7.7125595
"Q749J1",7.0999715,6.413199,5.745334,6.679082,7.05898225,6.188929,7.05898225,6.450896,6.639084
"Q74E06",7.602318,7.231291,7.18759,7.420533,7.5054995,7.490296,7.5054995,7.2881655,7.5084
"Q74FE3",7.756619,7.459197,7.496408,7.741207,7.8133535,7.783775,7.8133535,7.416174,7.7327535
"Q74FD7",6.976328,6.837582,6.7793455,7.598002,6.9682565,7.615666,6.9682565,6.844068,7.601098
"Q74CR7",7.2682595,6.873309,6.9972865,7.35919,7.31183625,7.28346,7.31183625,6.8783775,7.340187
"Q747L9",7.5491635,7.506113,7.423467,7.715293,7.56826325,7.631991,7.56826325,7.4659295,7.7743475
"Q74F37",7.01831,6.534369,6.527138,6.870866,7.0121095,6.865294,7.0121095,6.6177395,6.953028
"Q747I1",7.3813945,7.07675,6.988151,7.184152,7.35720925,7.151584,7.35720925,7.133092,7.209132
"Q74B48",6.196269,5.355846,5.302182,6.752809,6.2203845,6.718825,6.2203845,5.365521,6.719892
"Q74A52",7.0851555,6.99065,6.9096965,7.24182,7.04645175,7.009196,7.04645175,6.9882895,7.2723675
"Q749X4",7.821045,8.16465,8.205685,7.675879,7.7856765,7.696426,7.7856765,8.1848595,7.633383
"Q749R7",6.9239955,7.583743,7.6491495,7.545443,6.88193775,7.550962,6.88193775,7.5870975,7.4977305
"Q74DY9",7.6296155,7.855343,7.928582,7.387692,7.57123675,7.264251,7.57123675,8.0299755,7.3393085
"Q74GA9",7.5430365,7.194209,7.1527355,7.32952,7.57776725,7.339908,7.57776725,7.1196485,7.421102
"Q747N0",7.5321985,7.271447,7.4720405,7.706573,7.58194275,7.657983,7.58194275,7.2685805,7.5990655
"Q74H91",7.137541,6.661954,6.624928,7.281828,7.1489145,7.28558,7.1489145,6.6643345,7.288092
"Q74GA4",7.7732405,6.63273,6.514037,7.085612,7.85420025,7.194126,7.85420025,6.590983,7.1407005
"Q74CD9",7.1947625,7.781159,7.815832,7.400279,7.24305475,7.436751,7.24305475,7.7802265,7.484727
"Q74DV2",5.598989,6.117072,6.228043,6.098263,5.4483745,6.255249,5.4483745,6.2203475,6.0667665
"Q74EP7",5.5462315,5.162208,5.41442,6.322426,5.58288675,6.062808,5.58288675,5.2108,6.3199835
"Q74BK6",5.8270665,6.659926,6.533301,6.350674,5.71391625,6.14681,5.71391625,6.5599685,6.3123005
"Q746Q6",7.1211255,7.888039,7.892844,7.53895,7.12707675,7.582938,7.12707675,7.751684,7.5545595
"Q749B0",8.322127,7.896526,7.9634005,8.295215,8.335838,8.303261,8.335838,7.943159,8.3143715
"Q749V1",6.0844955,5.208305,5.3470225,5.750416,6.06834475,5.880733,6.06834475,5.1340575,5.819365
"Q749C9",7.6250485,6.65761,6.6995225,7.705744,7.70201175,7.891733,7.70201175,6.755127,7.7585085
"Q749J9",6.2623955,7.107007,7.126459,6.905607,6.47559875,6.651152,6.47559875,7.049278,6.8855155
"Q74GA0",7.6008655,6.297147,5.6470375,7.040919,7.51166225,6.985067,7.51166225,6.418907,6.9942645
"I7FK92",8.0649745,7.099508,7.033167,7.651608,8.04624375,7.713524,8.04624375,7.1094645,7.710352
"Q74GZ5",6.238219,6.429332,6.358567,6.486133,6.274541,6.518553,6.274541,6.4306455,6.539055
"Q74BK5",6.1076875,7.28364,7.251468,7.012795,6.11763925,6.84439,6.11763925,7.292693,6.941705
"Q74D52",7.6098905,6.493584,5.9439755,6.780943,7.65521925,6.893823,7.65521925,6.510974,6.717444
"Q74D22",7.5613605,7.733205,7.7079005,7.580594,7.59569575,7.781109,7.59569575,7.827903,7.6416545
"Q74H13",7.100479,7.706299,7.734856,7.284611,7.1012845,7.278754,7.1012845,7.7089265,7.2661815
"Q747D4",6.728465,6.721498,6.817812,6.824887,6.664904,6.853461,6.664904,6.841065,6.791282
"Q746Q4",5.664335,5.611727,5.6732675,6.075365,5.8266075,6.027268,5.8266075,5.3974625,5.98756
"Q74AM1",6.012761,5.471955,5.245335,6.408325,5.6260265,6.515463,5.6260265,5.4931825,6.3558685
"Q74E46",7.336066,7.380808,7.3810155,7.366909,7.2906785,7.306275,7.2906785,7.479167,7.4681475
"Q74DX2",7.93096,7.373923,7.4273675,7.851442,7.905981,7.90613,7.905981,7.3674665,7.8869125
"Q74EZ9",6.059728,7.909722,7.841893,7.542178,5.70866,7.433065,5.70866,7.94196,7.4611765
"Q74GN6",7.51656,7.724128,7.7630025,7.574945,7.5517985,7.523838,7.5517985,7.8306975,7.615397
"Q74D60",6.6829255,6.501046,6.3823885,6.763188,6.67686875,6.605445,6.67686875,6.464266,6.655118
"Q74BW8",7.4474,7.731999,7.6662135,7.558396,7.4808145,7.512177,7.4808145,7.7636685,7.598767
"Q74DK9",6.813664,6.579738,6.614882,6.811608,6.73235,6.908329,6.73235,6.6663845,6.9274455
"Q74GA6",7.491386,6.163609,6.1483025,6.932383,7.4268965,6.992748,7.4268965,6.2959205,6.948199
"I7F9N4",5.6197355,5.81746,5.511953,6.217563,5.40400725,6.448799,5.40400725,5.8176875,6.129023
"Q74DK0",5.29888,6.017492,5.855033,5.940547,5.246572,6.118463,5.246572,6.170527,5.996774
"Q748Z6",7.459483,7.444201,7.482172,7.516205,7.5604585,7.580788,7.5604585,7.3961945,7.4853875
"P61946",7.764831,7.039057,7.0258205,7.690922,7.742793,7.584851,7.742793,7.022226,7.729743
"Q74AZ3",7.801061,7.160708,7.2011275,7.283007,7.8164205,7.488113,7.8164205,7.094863,7.418942
"Q749N6",7.7741695,7.781913,7.827759,7.621156,7.74153725,7.505977,7.74153725,7.797089,7.6549255
"Q74ER6",7.405148,7.225852,7.206799,7.493416,7.354118,7.410996,7.354118,7.2774315,7.5440645
"Q74CZ8",7.7786665,7.592809,7.5862735,7.836919,7.86937575,7.782207,7.86937575,7.5456425,7.8470925
"Q74E50",6.6511945,6.963424,6.914101,7.011613,6.67397625,6.966151,6.67397625,6.9340535,6.99658
"Q74G01",7.5347065,6.888786,6.993663,7.669373,7.49949375,7.668358,7.49949375,6.93058,7.6174805
"Q749K5",7.9622075,7.993229,8.0181385,7.893246,7.92350425,7.902829,7.92350425,8.08104,7.9040405
"Q74GZ4",7.15717,7.153784,7.1216855,7.148078,7.0781175,7.173274,7.0781175,7.131749,7.190143
"I7FKI1",6.462038,5.267766,6.016516,6.402674,6.6058485,6.335618,6.6058485,6.0852925,6.396831
"Q747B0",6.215221,5.394569,5.3834105,6.1712,6.2635195,6.105442,6.2635195,5.435522,6.1398995
"Q749M9",5.0878375,4.95813,5.5426335,5.48379,5.51353625,6.17641,5.51353625,4.9265575,5.8995755
"Q74CN1",7.279476,6.407765,6.416364,7.338914,7.280334,7.36169,7.280334,6.47578,7.3812765
"Q74BL0",7.113646,7.644035,7.5185595,7.359057,7.1540385,7.447468,7.1540385,7.5246995,7.3576945
"Q748X2",7.2868545,6.923125,6.926162,7.064346,7.26143125,7.025879,7.26143125,6.8711665,7.140388
"Q74F38",7.073736,7.360745,7.2392565,6.838698,7.045134,6.667975,7.045134,7.3478805,6.9266515
"Q748X5",7.8428565,7.331306,7.399797,7.75254,7.84586125,7.740418,7.84586125,7.376241,7.751929
"Q74BN0",7.797025,7.479287,7.4182395,7.749079,7.818113,7.834859,7.818113,7.453573,7.7594015
"Q74D42",7.305069,7.775224,7.722038,7.365113,7.3957145,7.441931,7.3957145,7.8735145,7.3746255
"Q74EY4",5.640555,4.956294,5.745965,6.519211,5.1112505,5.978728,5.1112505,5.642917,6.5605215
"P61333",8.272766,7.392257,7.3985625,8.12064,8.2547525,8.132483,8.2547525,7.511962,8.163854
"Q74D51",8.773999,7.688909,7.69296,8.151554,8.7620685,8.172428,8.7620685,7.6131625,8.1839655
"Q74FR8",7.319107,6.802582,6.5870005,7.057894,7.4642225,7.12274,7.4642225,6.8135425,7.0515105
"I7F9P6",7.7519465,7.390988,7.4535895,7.485508,7.94339625,7.51709,7.94339625,7.3138005,7.470603
"Q74ET7",8.2532275,8.358011,8.366325,7.887139,8.26252275,7.964858,8.26252275,8.345194,7.946031
"Q748Z9",8.2552565,8.190528,8.069478,8.238021,8.22683325,8.236109,8.22683325,8.1594475,8.282557
"Q747G0",6.9082605,7.704665,7.7430705,7.291214,7.07952325,7.280032,7.07952325,7.7375745,7.3985615
"Q748Z1",7.2452045,6.548586,6.5264945,7.257174,7.33291025,6.938965,7.33291025,6.600029,7.185659
"Q74BF0",7.39059,6.655628,6.527919,7.49933,7.360106,7.394522,7.360106,6.761483,7.4875515
"Q74CB9",6.371924,5.271435,5.304942,6.523877,6.36936,6.207796,6.36936,5.7449985,6.5038035
"Q74GT9",7.1719795,6.462099,6.4039815,7.104589,7.12509125,7.076677,7.12509125,6.581094,7.1086805
"Q74GY5",8.1983635,8.215426,8.1294725,8.21096,8.26529975,8.211308,8.26529975,8.2841325,8.1862985
"Q747H2",7.525077,7.117603,7.082088,7.263802,7.4639185,7.144481,7.4639185,7.0448935,7.322576
"Q74GX7",7.252162,6.795734,6.804574,7.244376,7.285811,7.294841,7.285811,6.824491,7.2989535
"Q74A08",5.2683095,6.685966,6.719962,6.061867,5.18119925,6.356083,5.18119925,6.6370965,5.5372065
"Q74AE7",7.110702,6.838849,6.797929,7.44883,7.273098,7.599959,7.273098,6.848181,7.495759
"Q748B3",7.1664175,6.939399,6.8727485,7.203305,7.13397925,7.212614,7.13397925,6.8922515,7.1643605
"Q747C8",7.6876645,6.537038,6.5616215,7.665215,7.76144575,7.738011,7.76144575,6.676351,7.682366
"Q74FJ8",7.0471405,7.05873,7.102243,7.144169,7.00366775,7.114911,7.00366775,7.0496265,7.1707935
"Q74CC2",7.2551075,6.951746,6.9193665,7.196204,7.22547575,7.212561,7.22547575,6.8287365,7.1590295
"Q74FE4",8.03768,7.894903,7.9479505,7.780807,8.056413,7.937097,8.056413,7.953152,7.8063035
"Q746W2",7.5135975,7.820845,7.8513685,7.603631,7.50324175,7.459604,7.50324175,7.7894505,7.6516
"Q74CD1",6.179831,6.704965,6.689223,6.453777,6.155388,6.541042,6.155388,6.773834,6.4364865
"Q74GW9",6.502767,6.457837,6.4531555,6.575569,6.485306,6.598451,6.485306,6.463048,6.598912
"Q748Y5",7.3574245,6.166519,6.146974,7.200878,7.43574025,7.457458,7.43574025,6.132131,7.1178335
"Q74C01",6.401015,6.990308,7.075853,7.116774,6.4428355,7.036868,6.4428355,7.0852885,7.029733
"Q74CI4",6.053222,6.709584,6.434891,5.920614,6.0832985,6.021437,6.0832985,6.425203,5.970798
"Q74DS9",4.890692,5.004262,5.1152645,6.119124,4.9843965,5.853747,4.9843965,5.0441045,6.1090395
"Q74C39",7.1081985,6.82647,6.833968,7.236285,7.12571575,7.110186,7.12571575,6.791853,7.258625
"Q749B1",7.5681025,7.419757,7.3082845,7.524344,7.69333875,7.45315,7.69333875,7.2605115,7.6000245
"Q74A19",7.2439065,7.832745,7.824672,7.499687,7.23311625,7.458698,7.23311625,7.7646555,7.514334
"Q746W6",7.468888,7.343212,7.3566035,7.446646,7.5530635,7.444373,7.5530635,7.3744245,7.413501
"Q74CP1",7.590135,5.675797,5.513969,7.541841,7.5116965,7.427405,7.5116965,5.801332,7.5749215
"Q74DS6",5.636053,6.48986,6.4379385,7.344235,5.365489,7.210613,5.365489,6.5079705,7.304609
"Q746S1",6.7891405,6.941978,6.970304,7.067554,6.80629775,7.125546,6.80629775,6.962188,7.0392025
"Q74GA7",7.4539515,5.961725,5.6471615,6.959604,7.54250975,6.937107,7.54250975,6.051885,6.9688555
"Q8GGK7",5.133557,6.259498,5.5091655,5.158345,5.207296,5.383071,5.207296,5.6637355,5.777673
"Q74CB8",6.277324,6.277265,5.854588,6.325659,6.238087,6.334655,6.238087,6.0646895,6.2485905
"Q748Z3",8.1651415,8.1997,8.129821,8.014688,8.17606325,7.955635,8.17606325,8.123643,8.057529
"Q74DV6",6.2765765,6.882656,6.9265735,7.052617,6.41885675,7.045909,6.41885675,6.929883,7.0888375
"Q74BK9",6.4364655,6.418467,6.400152,6.707553,6.42436225,6.664285,6.42436225,6.424674,6.693949
"Q74CT0",7.2948475,7.097674,7.099401,7.200741,7.27605875,7.138524,7.27605875,6.9235545,7.190333
"Q74CE0",7.1891075,7.709482,7.731203,7.305652,7.22530425,7.347076,7.22530425,7.699391,7.369791
"P60454",7.961278,7.569573,7.5742435,7.846684,8.0067745,7.829445,8.0067745,7.61415,7.91497
"Q747Z0",6.828779,7.046573,7.041461,6.599785,6.9296895,6.480897,6.9296895,6.9606345,6.5921935
"Q74GV9",7.2569615,7.044069,7.0381625,7.304813,7.24843075,7.325228,7.24843075,7.174269,7.294102
"Q748X9",7.1638955,6.062995,6.0884525,7.412864,7.25100675,7.181014,7.25100675,6.1642365,7.2959205
"Q74BX6",7.1100535,6.409256,6.447737,6.830486,7.14150325,6.865856,7.14150325,6.433841,6.8692685
"Q749A6",8.175555,6.705573,6.4668195,7.773055,8.3098155,7.694579,8.3098155,6.690116,7.7289235
"Q74BM7",7.478222,7.075875,7.1012145,7.289723,7.5234405,7.220631,7.5234405,7.1325565,7.2386925
"P61723",7.4824245,8.038501,7.972932,7.497179,7.52855175,7.494405,7.52855175,8.035076,7.510846
"Q74C70",7.0815775,6.609093,6.61488,7.070629,7.05348275,7.2236,7.05348275,6.6184955,7.0627165
"Q74E74",6.748094,6.087249,6.260877,6.65184,6.603924,6.777216,6.603924,6.095424,6.764928
"Q74BX5",7.967564,7.487676,7.5478655,7.691824,7.9704935,7.697238,7.9704935,7.4570855,7.7383025
"Q74DY7",8.269336,7.952095,8.0077705,7.944004,8.2685705,7.92343,8.2685705,8.002029,7.8340825
"Q74GT3",7.452162,6.891236,6.790228,7.39347,7.458579,7.44677,7.458579,6.9681425,7.4577875
"Q74EA4",6.179827,6.566261,6.6818715,6.997094,6.3377415,7.050418,6.3377415,6.741991,6.928575
"Q74E25",7.073656,6.891091,6.8817255,6.90579,7.0575835,7.003719,7.0575835,6.864245,6.9250625
"Q74EG0",6.7108655,6.796185,6.850039,6.816751,6.71365125,6.757874,6.71365125,6.7609465,6.8014885
"Q74D00",6.83842,6.628787,6.6211505,6.827395,6.88216,6.788586,6.88216,6.737828,6.762482
"Q74DE5",6.656416,6.847863,6.8887305,6.95256,6.747387,7.03989,6.747387,6.8061505,6.9871225
"Q746S6",5.949221,5.623198,5.7011065,6.240025,6.006127,6.403189,6.006127,5.422436,6.335662
"Q74BE6",5.3032955,6.388012,6.620502,6.03627,4.98501825,6.296972,4.98501825,6.4367885,6.214061
"Q74CR5",7.8852445,7.860182,7.812463,7.918424,7.88371675,7.899815,7.88371675,7.8179035,7.931934
"Q747X3",7.608403,7.385839,7.468327,7.698135,7.6597675,7.664257,7.6597675,7.3360355,7.719087
"Q74GT5",7.291105,6.851943,6.897642,7.155731,7.2704695,7.073645,7.2704695,6.822755,7.1228535
"Q74E52",7.206103,6.105169,6.256331,7.098402,7.21203,7.075145,7.21203,6.3388985,7.0288695
"Q74G66",5.272593,4.945752,5.08353,5.656417,5.154448,5.668181,5.154448,5.295358,5.7748315
"Q74E56",6.671442,5.592976,5.698922,6.49798,6.5843035,6.071551,6.5843035,5.7061215,6.238946
"Q74AP7",7.1891515,6.931325,7.024116,7.545579,7.21211275,7.515384,7.21211275,6.8441975,7.5334435
"Q74GC6",6.7000955,7.042221,6.942437,6.630224,6.54285975,6.392099,6.54285975,7.079945,6.6504295
"Q74AP5",6.3412805,5.472801,5.381411,6.341197,6.31145225,6.365544,6.31145225,5.5143305,6.3446145
"Q748A7",7.1199255,6.946599,6.9577255,7.319835,7.19391225,7.407085,7.19391225,6.924714,7.27221
"P61617",7.7141955,7.358335,7.281363,7.700877,7.68825925,7.600167,7.68825925,7.307935,7.7187045
"Q74G64",7.469113,5.689566,5.4158725,6.571185,7.476236,6.713062,7.476236,5.8319535,6.68128
"Q749P2",6.1877305,7.462832,7.5265915,7.37055,6.27922375,7.245216,6.27922375,7.4972515,7.39377
"Q74EL7",6.9771345,7.282055,7.300955,7.193737,7.05535275,7.174612,7.05535275,7.2763085,7.165941
"Q74A40",6.648341,7.632295,7.6617505,6.93519,6.666207,6.928616,6.666207,7.6027455,6.986925
"Q74BW9",8.224525,8.114077,8.1860815,8.251468,8.2182895,8.189265,8.2182895,8.1919355,8.244895
"Q747Y5",6.5341285,7.074963,7.061411,6.70624,6.44637425,6.67609,6.44637425,7.1000755,6.6389045
"Q74D03",6.8381585,6.285445,6.20874,6.783989,6.85807575,6.685563,6.85807575,6.267334,6.8827455
"Q747R1",7.0045245,6.596267,6.5413345,7.157063,7.02075625,7.178977,7.02075625,6.715086,7.146606
"Q74CB5",6.8287395,7.098575,7.0009005,7.022346,6.85182225,6.9572,6.85182225,7.092699,7.013527
"Q748J3",7.214251,7.407612,7.3232305,7.120673,7.1862315,7.051538,7.1862315,7.313585,7.1223115
